active_bins,correct_rank,ghost_mass_fraction,id,kkt,mass,matched_components,method,minority_rate_recovered,minority_support_recall,partition,r_true,rank,relative_gap,scenario,seconds,selected_penalty,snr,spectral_leakage_fraction,stationarity,success,test_clean_rmse_sigma,test_observed_rmse_sigma,unmatched_mass_fraction,w1_logD
,True,0.05996048084759694,development_015_broad,,30.578572630753527,3,DOME,True,1.0,development,3,3,,broad,0.7240175000624731,,100,0.05996048084759699,,True,0.2507851845409387,1.0277534752468798,1.1618311036622621e-16,0.20037512153503595
,True,0.0004559274889840171,development_015_broad,5.245281865215116e-16,30.454732912518892,3,DOME_S,True,1.0,development,3,3,,broad,0.7184342000400648,,100,0.00045592748898410414,5.638727319272331e-09,True,0.20618969685942778,1.0213118358000033,1.1665555199599543e-16,0.1591943805285347
,True,0.05996048747422863,development_015_broad,,30.578572706322312,3,RAI,True,1.0,development,3,3,,broad,1.3562818999635056,,100,0.05996048747422862,,True,0.250785182125054,1.027753475157052,0.0,0.2003751262523401
,True,0.0004559274889840171,development_015_broad,5.245281865215116e-16,30.454732912518892,3,RAI_S,True,1.0,development,3,3,,broad,1.319680199958384,,100,0.00045592748898410414,5.638727319272331e-09,True,0.20618969685942778,1.0213118358000033,1.1665555199599543e-16,0.1591943805285347
,True,0.0,development_016_single,,32.907652405813536,1,DOME,True,1.0,development,1,1,,single,1.2656274000182748,,200,0.0,,True,0.1866734475768692,1.0175733956414892,0.0,0.0
,True,0.0,development_016_single,3.1340949131055793e-16,32.90765240543332,1,DOME_S,True,1.0,development,1,1,,single,1.4349839000497013,,200,0.0,1.0755769392451085e-09,True,0.1866734476283471,1.0175733956380486,0.0,0.0
,True,0.0,development_016_single,,32.90765240580811,1,RAI,True,1.0,development,1,1,,single,1.6144020999781787,,200,0.0,,True,0.18667344757760299,1.0175733956414397,0.0,0.0
,True,0.0,development_016_single,3.1340949131055793e-16,32.90765240543332,1,RAI_S,True,1.0,development,1,1,,single,1.5525117000797763,,200,0.0,1.0755769392451085e-09,True,0.1866734476283471,1.0175733956380486,0.0,0.0
,True,0.015883134379193163,development_017_double,,29.5454127726217,2,DOME,True,1.0,development,2,2,,double,1.3786711000138894,,200,0.015883134379193264,,True,0.2789437791478746,1.0425345471040763,0.0,0.033723241920065386
,True,0.0003275337339976604,development_017_double,2.8150097155050474e-16,29.496253756905094,2,DOME_S,True,1.0,development,2,2,,double,1.2696050000377,,200,0.00032753373399749275,1.8202080629724964e-09,True,0.2149451288314954,1.0224654101544344,0.0,0.014739694729160122
,True,0.01588313407312275,development_017_double,,29.54541277221274,2,RAI,True,1.0,development,2,2,,double,1.7015588000649586,,200,0.01588313407312283,,True,0.27894377813533505,1.042534546744166,0.0,0.03372324152085348
,True,0.0003275337339976604,development_017_double,2.8150097155050474e-16,29.496253756905094,2,RAI_S,True,1.0,development,2,2,,double,1.777918600011617,,200,0.00032753373399749275,1.8202080629724964e-09,True,0.2149451288314954,1.0224654101544344,0.0,0.014739694729160122
,True,0.020339338026637805,development_018_triple,,37.08503185270001,3,DOME,True,1.0,development,3,3,,triple,0.9507052999688312,,200,0.02033933802663788,,True,0.2700824258036411,1.0324444848685927,0.0,0.045961597864454605
,True,0.000274784737419962,development_018_triple,1.253003186569793e-15,37.00938138986976,3,DOME_S,True,1.0000000000000002,development,3,3,,triple,1.2997436000732705,,200,0.00027478473741995776,3.553261729574794e-11,True,0.20734610554094396,1.0138276891337599,1.9198989798694407e-16,0.011160177789103137
